Vendor ID | Vendor Name | AAD Vendor Lead Time | AAD Vendor Cutoff Time | AAD Vendor Override date | AAD Vendor Outage Start | AAD Vendor Outage End | Address Line 1 | Address Line 2 | City | State | Zip | ISO Code | Vendor Catalog Name | Model Type
1225945|ARTCARVED CLASS RINGS|30|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|7211 Circle S Road||Austin|TX|78745|US||
1241678|HAMPDEN CORPORATION|15|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|1552 W. Carroll Avenue||Chicago|IL|60607|US||
1276153|VERIGOLD COM LTD|3|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|3 E. 54th Street, Ste 603||New York|NY|10022|US||
1276344|SUNSOURCE|7|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|255 W. 25th Avenue, 9th Floor||New York|NY|10018|US||
1291673|SDC DESIGNS LLC|22|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|30-30 47th Avenue||Long Island City|NY|11101|US||
1304021|QUALITY COLOR DESIGN|8|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|10 W. 46th Street, 8th Floor||New York|NY|10036|US||
1400071|ALOMA DIRECT INTL|6|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29; 2022-11-24; 2022-12-23; 2022-12-26;|2022-01-17; 2022-03-15; 2022-03-29; 2022-11-25; 2022-12-23; 2022-12-26;|12 E. 46th Street, 2nd Floor||New York|NY|10017|US||
1400564|MSJ DESIGN INC|30|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|19 W. 36th Street, 5th Floor||New York|NY|10018|US||
1400717|END JEWELRY|2|1:30 PM||2022-01-06; 2022-01-10; 2022-01-17; 2022-02-21; 2022-03-15; 2022-03-29;|2022-01-07; 2022-01-10; 2022-01-17; 2022-02-21; 2022-03-15; 2022-03-29;|10-40 45th Avenue, Ste 312||Long Island City|NY|11101|US||
1460185|ALLURE GEMS LLC|20|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|1212 Avenue of the Americas, 12th Floor||New York|NY|10036|US||
1466126|TAHITIAN SOUTH SEA PEARLS, INC.|3|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|600 Wilshire Blvd., Ste 1280||Los Angeles|CA|90017|US||
